id,datetime,open,high,low,close,volume
CFFEX.T2212,2022-09-01 11:00:00,101.485,101.485,101.48,101.48,73.0
CFFEX.T2212,2022-09-01 11:01:00,101.48,101.485,101.47,101.475,262.0
CFFEX.T2212,2022-09-01 11:02:00,101.475,101.48,101.465,101.47,413.0
CFFEX.T2212,2022-09-01 11:03:00,101.47,101.47,101.46,101.47,651.0
CFFEX.T2212,2022-09-01 11:04:00,101.47,101.47,101.455,101.46,310.0
CFFEX.T2212,2022-09-01 11:05:00,101.46,101.47,101.455,101.46,212.0
CFFEX.T2212,2022-09-01 11:06:00,101.46,101.465,101.455,101.46,237.0
CFFEX.T2212,2022-09-01 11:07:00,101.46,101.46,101.45,101.45,161.0
CFFEX.T2212,2022-09-01 11:08:00,101.45,101.455,101.445,101.45,511.0
CFFEX.T2212,2022-09-01 11:09:00,101.45,101.45,101.445,101.445,164.0
CFFEX.T2212,2022-09-01 11:10:00,101.445,101.45,101.445,101.45,114.0
CFFEX.T2212,2022-09-01 11:11:00,101.45,101.455,101.445,101.45,72.0
CFFEX.T2212,2022-09-01 11:12:00,101.45,101.455,101.45,101.45,137.0
CFFEX.T2212,2022-09-01 11:13:00,101.45,101.455,101.445,101.455,464.0
CFFEX.T2212,2022-09-01 11:14:00,101.455,101.465,101.455,101.465,194.0
CFFEX.T2212,2022-09-01 11:15:00,101.465,101.465,101.455,101.455,336.0
CFFEX.T2212,2022-09-01 11:16:00,101.455,101.465,101.455,101.46,111.0
CFFEX.T2212,2022-09-01 11:17:00,101.46,101.465,101.455,101.46,116.0
CFFEX.T2212,2022-09-01 11:18:00,101.46,101.46,101.45,101.46,207.0
CFFEX.T2212,2022-09-01 11:19:00,101.46,101.47,101.45,101.465,375.0
CFFEX.T2212,2022-09-01 11:20:00,101.465,101.465,101.455,101.455,154.0
CFFEX.T2212,2022-09-01 11:21:00,101.455,101.46,101.455,101.455,21.0
CFFEX.T2212,2022-09-01 11:22:00,101.455,101.455,101.455,101.455,48.0
CFFEX.T2212,2022-09-01 11:23:00,101.455,101.455,101.45,101.455,21.0
CFFEX.T2212,2022-09-01 11:24:00,101.455,101.455,101.45,101.45,1.0
CFFEX.T2212,2022-09-01 11:25:00,101.45,101.46,101.45,101.455,113.0
CFFEX.T2212,2022-09-01 11:26:00,101.455,101.455,101.45,101.45,253.0
CFFEX.T2212,2022-09-01 11:27:00,101.45,101.455,101.45,101.455,77.0
CFFEX.T2212,2022-09-01 11:28:00,101.455,101.46,101.455,101.455,9.0
CFFEX.T2212,2022-09-01 11:29:00,101.455,101.46,101.455,101.46,85.0
CFFEX.T2212,2022-09-01 13:00:00,101.495,101.51,101.495,101.5,1875.0
CFFEX.T2212,2022-09-01 13:01:00,101.5,101.51,101.495,101.5,780.0
CFFEX.T2212,2022-09-01 13:02:00,101.5,101.505,101.495,101.495,316.0
CFFEX.T2212,2022-09-01 13:03:00,101.495,101.51,101.495,101.505,349.0
CFFEX.T2212,2022-09-01 13:04:00,101.505,101.505,101.5,101.505,81.0
CFFEX.T2212,2022-09-01 13:05:00,101.505,101.515,101.505,101.515,421.0
CFFEX.T2212,2022-09-01 13:06:00,101.515,101.525,101.51,101.525,602.0
CFFEX.T2212,2022-09-01 13:07:00,101.525,101.53,101.52,101.53,527.0
CFFEX.T2212,2022-09-01 13:08:00,101.53,101.53,101.52,101.52,333.0
